start
95,9870,-10920
5,1730,-6317,96302,8277
69,-994,259,997,-6475,5670
69,-994,259,997,-6475,5670
74,-999,257,-1295,-6720,6072
77,-996,257,-2975,-6422,5005
73,-994,259,-3115,-5775,3220
73,-994,259,-3115,-5775,3220
71,-991,262,-1610,-4235,1365
72,-990,263,140,-3167,910
77,-996,262,630,-2975,1697
77,-996,262,630,-2975,1697
77,-998,261,-455,-3622,2257
78,-1000,262,-1960,-4340,1347
81,-996,262,-2642,-3902,17
81,-996,262,-2642,-3902,17
77,-993,265,-1767,-3255,-647
73,-986,269,-140,-3045,-1295
77,-986,273,1085,-3640,-1750
77,-986,273,1085,-3640,-1750
74,-988,274,1207,-4497,-1802
76,-990,272,822,-5267,-2187
75,-992,272,385,-5775,-2450
75,-992,272,385,-5775,-2450
73,-990,270,507,-6282,-2607
72,-988,271,1575,-6020,-2800
78,-995,273,2695,-5670,-2345
78,-995,273,2695,-5670,-2345
91,-996,272,1995,-6527,-945
96,-1001,264,122,-8032,-140
96,-993,257,-1347,-8820,-1487
96,-993,257,-1347,-8820,-1487
83,-983,252,-1015,-7980,-4655
69,-973,256,1382,-5267,-8032
69,-973,256,4007,-3255,-8732
59,-967,261,4007,-3255,-8732
55,-966,263,5512,-3115,-6387
64,-970,264,4550,-4637,-2450
64,-970,264,4550,-4637,-2450
73,-976,256,1417,-6947,1592
76,-983,254,-1715,-7945,3570
79,-989,256,-3255,-7297,3167
79,-989,256,-3255,-7297,3167
78,-989,262,-2572,-6160,2240
78,-991,269,-577,-5057,1627
84,-992,272,857,-5005,1802
84,-992,272,857,-5005,1802
83,-995,271,875,-5477,2327
88,-995,269,-87,-5985,1925
86,-992,263,-1067,-6230,1085
86,-992,263,-1067,-6230,1085
82,-991,263,-892,-5827,-490
80,-990,264,-192,-5215,-1925
82,-988,262,507,-4987,-2257
82,-988,262,507,-4987,-2257
81,-989,263,927,-4707,-1855
83,-986,261,630,-4865,-1207
78,-985,259,315,-4952,-840
78,-985,259,315,-4952,-840
78,-984,267,840,-4130,-1015
83,-981,267,1137,-4042,-490
83,-980,265,1487,-4585,367
83,-980,265,1487,-4585,367
88,-980,264,1820,-5232,805
90,-983,260,1627,-5845,1207
84,-982,260,1120,-5565,1102
84,-982,260,1120,-5565,1102
77,-981,264,717,-5162,280
74,-981,265,420,-5197,-297
74,-981,265,332,-5162,105
74,-986,267,332,-5162,105
81,-989,267,-315,-5057,1312
76,-992,268,-1242,-5232,2432
76,-992,268,-1242,-5232,2432
82,-989,271,-1855,-5477,2030
84,-985,265,-1767,-5915,1995
78,-985,264,-367,-5495,1802
78,-985,264,-367,-5495,1802
